station,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
87774,2023-07-19,1.7,-0.1,88.0,0.6,,79.0,16.2,,1018.3,,12.0
87784,2023-07-19,2.3,-3.0,68.0,0.0,,340.0,11.2,,1024.6,,3.0
87791,2023-07-19,5.8,-1.8,58.0,0.0,,20.0,18.4,,1023.9,,3.0
877AW,2023-07-19,32.0,24.1,63.0,0.0,,170.0,29.5,,1015.0,,3.0
87800,2023-07-19,0.4,0.1,98.0,1.8,,0.0,0.0,,1017.9,,9.0
87803,2023-07-19,-0.1,-1.2,92.0,0.4,,50.0,16.6,,1016.3,,14.0
87814,2023-07-19,0.9,-1.7,83.0,0.0,,0.0,0.0,,1014.3,,3.0
87823,2023-07-19,5.2,0.8,73.0,0.0,,0.0,34.6,,1018.6,,3.0
87828,2023-07-19,6.0,-0.5,63.0,0.0,,20.0,24.1,,1018.6,,3.0
87839,2023-07-19,5.1,1.6,78.0,,,357.0,29.6,,1021.7,,
87852,2023-07-19,-5.8,-6.2,97.0,0.0,,0.0,0.0,,1014.3,,3.0
87860,2023-07-19,2.6,-4.0,62.0,0.0,,320.0,11.2,,1013.8,,3.0
87880,2023-07-19,0.6,-1.6,85.0,0.0,,0.0,0.0,,1008.4,,3.0
87896,2023-07-19,0.0,-3.7,76.0,0.0,,320.0,24.1,,1012.8,,3.0
87903,2023-07-19,-2.8,-8.9,63.0,,,128.0,1.8,,1011.5,,
87904,2023-07-19,-3.2,-4.5,91.0,0.0,,140.0,5.4,,1008.8,,3.0
87909,2023-07-19,-0.7,-3.6,81.0,0.0,,50.0,14.8,,1010.0,,3.0
87912,2023-07-19,-2.5,-10.8,53.0,0.0,,345.0,9.7,,1008.1,,3.0
87925,2023-07-19,-3.0,-6.1,79.0,0.0,,200.0,5.4,,1007.7,,2.0
87934,2023-07-19,1.5,-1.1,83.0,0.0,,310.0,25.9,,1006.1,,3.0
87938,2023-07-19,3.8,-0.8,72.0,0.0,,340.0,5.4,,1003.8,,3.0
88889,2023-07-19,2.3,0.4,87.0,0.0,,310.0,22.3,,1010.7,,2.0
88891,2023-07-19,2.3,-0.3,83.0,0.0,,294.0,33.8,,1012.0,,3.0
88903,2023-07-19,-2.9,-6.5,76.0,0.3,,310.0,13.0,,1000.3,,
88963,2023-07-19,-8.4,-11.9,76.0,0.0,,231.0,19.1,,983.0,,1.0
88968,2023-07-19,-5.1,-6.8,88.0,0.0,,314.0,25.9,,986.3,,3.0
89002,2023-07-19,-17.0,-19.3,82.0,0.1,,82.0,48.2,,999.7,,14.0
89004,2023-07-19,-20.7,-24.7,70.0,0.0,,105.0,25.9,,1000.6,,4.0
89009,2023-07-19,-60.8,-61.3,60.0,0.0,,10.0,16.6,,1003.6,,5.0
89022,2023-07-19,-23.6,-25.8,82.0,0.0,,70.0,16.2,,985.4,,5.0
89034,2023-07-19,-25.0,-28.9,70.0,0.0,,108.0,23.4,,984.8,,2.0
89042,2023-07-19,-2.7,-3.5,94.0,,,286.0,24.1,,986.8,,
89050,2023-07-19,-3.3,-7.1,75.0,0.2,,258.0,33.8,,986.2,,21.0
89053,2023-07-19,-3.3,-6.6,78.0,0.0,,266.0,34.6,,986.1,,3.0
89055,2023-07-19,-10.0,-12.5,82.0,0.0,,201.0,29.6,,983.8,,2.0
89056,2023-07-19,-2.2,-7.3,68.0,0.0,,256.0,29.5,,985.7,,3.0
89057,2023-07-19,-4.1,-8.6,71.0,0.0,,261.0,32.8,,985.9,,2.0
89058,2023-07-19,-3.3,-7.1,75.0,0.2,,258.0,33.8,,986.2,,21.0
89059,2023-07-19,-6.3,-8.0,88.0,0.0,,223.0,16.7,,983.8,,3.0
89061,2023-07-19,-6.5,-9.7,78.0,0.0,,309.0,16.6,,985.5,,3.0
89062,2023-07-19,-4.5,-8.8,72.0,0.2,,30.0,41.4,,978.4,,14.0
89063,2023-07-19,-4.1,-7.4,78.0,0.2,,332.0,10.8,,985.2,,14.0
89065,2023-07-19,-12.5,-15.9,76.0,0.0,,313.0,8.3,,976.4,,3.0
89066,2023-07-19,-5.4,-10.9,65.0,0.0,,22.0,29.2,,978.7,,3.0
89108,2023-07-19,-55.8,-60.0,59.0,0.0,,1.0,30.6,,1003.9,,5.0
89251,2023-07-19,-3.9,-7.2,78.0,0.0,,263.0,32.8,,986.2,,3.0
89257,2023-07-19,-41.7,-46.1,62.0,0.0,,240.0,19.4,,990.2,,2.0
89262,2023-07-19,-18.1,-20.6,81.0,0.0,,183.0,15.8,,984.8,,3.0
89266,2023-07-19,-34.0,-38.2,66.0,0.0,,179.0,20.5,,989.9,,2.0
89272,2023-07-19,-22.3,-26.3,70.0,0.0,,329.0,7.9,,982.6,,3.0
89314,2023-07-19,-34.7,-39.4,62.0,0.0,,93.0,37.1,,996.3,,3.0
89324,2023-07-19,-40.0,-43.2,71.0,0.0,,358.0,38.2,,991.1,,5.0
89332,2023-07-19,-29.9,-33.9,68.0,0.0,,47.0,31.3,,982.3,,3.0
89345,2023-07-19,-30.1,-32.1,83.0,0.0,,9.0,23.0,,978.8,,3.0
89376,2023-07-19,-44.3,-47.9,67.0,0.0,,191.0,16.2,,987.8,,5.0
89377,2023-07-19,-42.1,-46.1,65.0,0.0,,159.0,17.6,,988.9,,5.0
89504,2023-07-19,-29.4,-36.5,50.0,0.0,,143.0,17.3,,999.8,,3.0
89512,2023-07-19,-22.5,-35.0,31.0,0.0,,215.0,7.4,,996.1,,2.0
89532,2023-07-19,-23.1,-25.7,79.0,0.1,,73.0,11.1,,988.7,,14.0
89542,2023-07-19,-12.7,-14.3,88.0,0.0,,78.0,22.2,,988.6,,
89564,2023-07-19,-12.6,-17.5,67.0,0.0,,118.0,75.9,,993.3,,5.0
89571,2023-07-19,-15.9,-18.6,80.0,0.0,,103.0,21.2,,999.9,,3.0
89573,2023-07-19,-15.6,-26.2,40.0,0.0,,100.0,28.4,,1001.3,,3.0
89574,2023-07-19,-14.2,-22.6,49.0,0.0,,86.0,24.1,,1001.7,,2.0
89575,2023-07-19,-19.4,-26.0,56.0,0.0,,101.0,24.5,,1001.7,,3.0
89577,2023-07-19,-40.0,-44.8,60.0,0.0,,109.0,30.6,,1015.5,,3.0
89578,2023-07-19,-45.9,-50.1,62.0,0.0,,66.0,26.6,,1020.5,,3.0
89592,2023-07-19,-19.1,-24.9,60.0,0.0,,142.0,42.6,,999.0,,1.0
89606,2023-07-19,-57.7,-61.5,62.0,0.0,,249.0,31.0,,1025.9,,5.0
89611,2023-07-19,-18.5,-22.6,70.0,0.0,,142.0,13.0,,989.9,,2.0
89615,2023-07-19,-22.8,-28.6,59.0,0.0,,83.0,49.7,,989.3,,3.0
89625,2023-07-19,-60.0,-62.7,70.0,0.0,,187.0,30.2,,1022.5,,5.0
89642,2023-07-19,-15.5,-22.9,53.0,0.0,,134.0,16.7,,993.7,,1.0
89648,2023-07-19,-55.9,-60.4,57.0,0.0,,190.0,38.2,,1020.5,,1.0
89657,2023-07-19,-21.4,-26.6,63.0,0.0,,214.0,8.6,,985.6,,3.0
89659,2023-07-19,-47.7,-52.4,58.0,0.0,,306.0,20.2,,1004.8,,1.0
89661,2023-07-19,-20.5,-26.4,59.0,0.0,,232.0,37.1,,988.1,,1.0
89662,2023-07-19,-22.8,-26.8,70.0,0.0,,214.0,62.6,,988.1,,3.0
89666,2023-07-19,-28.9,-31.1,81.0,0.0,,168.0,10.1,,990.7,,5.0
89667,2023-07-19,-39.9,-42.9,73.0,0.0,,90.0,19.1,,991.6,,1.0
89670,2023-07-19,-41.0,-44.3,70.0,0.0,,85.0,19.1,,991.6,,1.0
89674,2023-07-19,-30.9,-39.4,43.0,0.0,,0.0,0.0,,991.3,,1.0
89734,2023-07-19,-26.2,-30.8,65.0,0.0,,19.0,24.1,,1015.3,,5.0
89744,2023-07-19,-20.8,-25.2,68.0,0.0,,82.0,32.8,,1009.9,,5.0
89767,2023-07-19,-25.6,-30.4,64.0,0.0,,207.0,27.7,,1005.2,,3.0
89769,2023-07-19,-41.8,-45.5,67.0,0.0,,184.0,30.6,,992.1,,2.0
89799,2023-07-19,-54.8,-58.5,63.0,0.0,,262.0,46.1,,999.8,,5.0
89809,2023-07-19,-21.0,-26.7,60.0,0.0,,84.0,26.6,,989.3,,2.0
89811,2023-07-19,-29.1,-32.6,72.0,0.0,,115.0,31.0,,992.0,,2.0
89828,2023-07-19,-59.6,-62.6,68.0,0.0,,169.0,29.9,,1023.1,,5.0
89832,2023-07-19,-17.1,-27.0,42.0,0.0,,173.0,41.0,,993.5,,1.0
89834,2023-07-19,-29.5,-36.2,52.0,0.0,,166.0,37.1,,995.3,,1.0
89864,2023-07-19,-25.9,-37.5,33.0,0.0,,258.0,78.8,,990.2,,1.0
89865,2023-07-19,-31.3,-34.0,77.0,0.0,,136.0,25.9,,990.9,,5.0
89866,2023-07-19,-30.0,-39.8,38.0,0.0,,232.0,11.9,,990.8,,1.0
