,station,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,id,latitude,longitude
105,01347,2023-07-19,7.0,4.0,81.0,0.0,,220.0,5.4,24.1,1007.0,,7.0,01347,61.15,7.1333
106,01352,2023-07-19,3.1,2.2,94.0,0.0,,288.0,22.3,34.6,1010.1,,3.0,01352,60.1839,7.4814
107,01358,2023-07-19,6.6,2.9,77.0,0.0,,321.0,6.5,24.8,1008.0,,1.0,01358,60.8547,8.5931
108,01361,2023-07-19,4.9,2.6,85.0,0.0,,245.0,5.4,24.8,1006.7,,3.0,01361,62.0161,7.6636
109,01362,2023-07-19,-1.2,-2.3,92.0,0.0,,263.0,24.1,34.2,1007.5,,3.0,01362,61.6778,8.3728
110,01365,2023-07-19,3.8,1.2,83.0,0.0,,296.0,9.4,16.9,1007.9,,1.0,01365,61.2506,8.9228
111,01366,2023-07-19,1.2,1.1,99.0,0.0,,243.0,20.4,35.2,1008.4,,7.0,01366,61.5667,8.0
112,01367,2023-07-19,9.6,5.2,74.0,0.0,,309.0,1.8,11.9,1007.7,,1.0,01367,60.9833,9.2333
113,01368,2023-07-19,12.8,6.6,66.0,0.0,,210.0,22.2,35.2,1006.7,,2.0,01368,61.0,9.3
114,01371,2023-07-19,7.5,2.0,68.0,0.0,,262.0,2.9,9.0,1007.6,,1.0,01371,61.1219,9.0631
115,01373,2023-07-19,10.2,4.1,66.0,0.0,,27.0,2.2,5.8,1008.0,,1.0,01373,60.5669,9.1336
116,01374,2023-07-19,6.3,0.4,66.0,0.0,,308.0,13.0,30.2,1006.6,,2.0,01374,60.9333,10.0333
117,01380,2023-07-19,5.5,4.1,91.0,0.0,,298.0,7.9,14.8,1010.1,,2.0,01380,61.65,10.1167
118,01381,2023-07-19,9.9,2.3,59.0,0.0,,271.0,14.0,24.1,1005.6,,1.0,01381,60.7003,10.8683
119,01382,2023-07-19,12.2,4.9,61.0,0.0,,296.0,17.6,28.4,1005.5,,1.0,01382,60.7733,10.8056
120,01385,2023-07-19,11.2,5.1,66.0,0.0,,272.0,5.0,18.0,1005.6,,2.0,01385,60.8178,11.0694
121,01386,2023-07-19,12.3,4.8,60.0,0.0,,286.0,10.1,18.7,1005.1,,2.0,01386,60.8008,11.0975
122,01392,2023-07-19,7.6,6.5,93.0,0.0,,52.0,2.9,4.7,1004.6,,1.0,01392,60.6139,12.0122
123,01393,2023-07-19,6.0,6.0,100.0,0.0,,5.0,2.9,7.2,1005.6,,2.0,01393,61.8833,12.05
124,01403,2023-07-19,13.0,10.2,83.0,0.0,,262.0,34.2,42.0,1010.9,,3.0,01403,59.3,4.8833
125,01408,2023-07-19,13.0,7.0,67.0,0.0,,250.0,25.9,33.8,1010.0,,3.0,01408,59.35,5.2167
126,01411,2023-07-19,12.9,8.0,72.0,0.0,,277.0,21.6,32.8,1011.1,,3.0,01411,59.0703,5.4119
127,01413,2023-07-19,10.3,6.1,75.0,0.0,,288.0,11.5,20.9,1011.5,,3.0,01413,58.7606,5.6506
128,01414,2023-07-19,13.1,7.5,69.0,0.0,,260.0,27.7,37.1,1010.6,,3.0,01414,59.4381,5.0781
129,01416,2023-07-19,10.9,6.8,76.0,0.0,,279.0,10.1,22.0,1011.3,,3.0,01416,58.9569,5.73
130,01418,2023-07-19,11.1,6.0,71.0,0.0,,238.0,14.4,28.8,1009.5,,3.0,01418,60.0167,5.2058
